experiment_subnum,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,num-epochs_avg,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
181,0.039999999999999994,0.0005,0.014,0.042,0.057,0.112,0.305,0.067,25.0,0.042,0.054,0.064,0.048,0.067,0.0,0.003,0.053,0.262,0.0,3.867,4.004,5.029,7.266,3.867,19.04.24 - 06:19
182,0.039999999999999994,0.0005,0.016,0.066,0.068,0.113,0.304,0.083,27.0,0.066,0.056,0.067,0.052,0.083,0.0,0.012,0.05,0.256,0.0,3.574,3.87,4.79,7.05,3.75,19.04.24 - 06:19
183,0.039999999999999994,0.0005,0.018000000000000002,0.141,0.135,0.168,0.34,0.157,16.0,0.141,0.129,0.13,0.099,0.167,0.0,0.008,0.043,0.245,0.0,3.683,4.058,4.91,7.136,3.667,19.04.24 - 06:20
184,0.039999999999999994,0.0005,0.02,0.182,0.147,0.163,0.333,0.23,-1,0.202,0.157,0.141,0.109,0.25,0.0,0.005,0.034,0.233,0.0,3.99,4.086,4.662,6.9,3.95,19.04.24 - 06:21
185,0.039999999999999994,0.0005,0.022000000000000002,0.181,0.136,0.143,0.318,0.157,9.0,0.191,0.141,0.13,0.105,0.167,0.0,0.0,0.018,0.219,0.0,3.683,3.755,4.413,6.694,3.683,19.04.24 - 06:22
186,0.039999999999999994,0.0005,0.024,0.168,0.165,0.164,0.33,0.167,2.0,0.168,0.164,0.151,0.121,0.167,0.0,0.003,0.019,0.215,0.0,3.613,3.679,4.153,6.426,3.6,19.04.24 - 06:22
187,0.039999999999999994,0.001,0.004,0.214,0.268,0.356,0.493,0.19,10.0,0.112,0.11,0.08,0.06,0.15,0.118,0.18,0.293,0.446,0.05,5.565,6.685,8.045,9.55,4.767,19.04.24 - 06:23
188,0.039999999999999994,0.001,0.006,0.138,0.189,0.306,0.456,0.107,50.0,0.101,0.107,0.079,0.059,0.067,0.041,0.097,0.24,0.407,0.05,5.601,6.8,8.294,9.738,5.05,19.04.24 - 06:24
189,0.039999999999999994,0.001,0.008,0.139,0.171,0.262,0.423,0.133,26.0,0.089,0.12,0.095,0.071,0.067,0.05,0.052,0.171,0.355,0.067,4.764,5.489,6.978,8.743,4.683,19.04.24 - 06:24
190,0.039999999999999994,0.001,0.01,0.047,0.101,0.198,0.378,0.033,49.0,0.031,0.052,0.052,0.039,0.017,0.016,0.052,0.155,0.346,0.017,4.381,5.214,6.571,8.49,4.017,19.04.24 - 06:25
191,0.039999999999999994,0.001,0.012,0.029,0.072,0.166,0.354,0.017,56.0,0.017,0.025,0.033,0.025,0.017,0.012,0.047,0.136,0.332,0.0,3.968,4.724,6.066,8.1,3.633,19.04.24 - 06:26
192,0.039999999999999994,0.001,0.014,0.04,0.056,0.13,0.328,0.033,38.0,0.037,0.036,0.035,0.027,0.033,0.003,0.02,0.097,0.302,0.0,3.816,4.269,5.543,7.713,3.717,19.04.24 - 06:26
193,0.039999999999999994,0.001,0.016,0.02,0.055,0.119,0.319,0.0,59.0,0.019,0.035,0.042,0.032,0.0,0.001,0.02,0.08,0.29,0.0,3.557,4.02,5.102,7.398,3.533,19.04.24 - 06:27
194,0.039999999999999994,0.001,0.018000000000000002,0.069,0.08,0.148,0.338,0.1,24.0,0.069,0.07,0.093,0.07,0.1,0.0,0.01,0.06,0.271,0.0,3.989,4.224,5.319,7.531,3.917,19.04.24 - 06:27
195,0.039999999999999994,0.001,0.02,0.06,0.038,0.098,0.299,0.083,24.0,0.06,0.037,0.046,0.034,0.083,0.0,0.001,0.055,0.266,0.0,3.65,3.895,4.866,7.158,3.65,19.04.24 - 06:28
196,0.039999999999999994,0.001,0.022000000000000002,0.079,0.062,0.099,0.293,0.117,11.0,0.079,0.062,0.068,0.052,0.117,0.0,0.0,0.035,0.244,0.0,3.717,3.763,4.73,7.016,3.717,19.04.24 - 06:29
197,0.039999999999999994,0.001,0.024,0.17,0.141,0.17,0.344,0.19,5.0,0.173,0.139,0.141,0.108,0.2,0.0,0.004,0.033,0.24,0.0,3.667,3.867,4.633,6.911,3.667,19.04.24 - 06:30
