experiment_subnum,plasticity.lambda_plus,plasticity.lambda_minus,plasticity.lambda_h,plasticity.tau_plus,num-epochs_avg,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
585,0.15000000000000002,0.005,0.019999999999999997,15,47,0.106,0.186,0.297,0.456,0.067,0.0,0.0,0.0,0.0,0.0,0.106,0.186,0.297,0.456,0.067,6.073,7.057,8.286,9.806,5.683,22.05.24 - 14:47
586,0.13,0.003,0.01,18,-1,0.269,0.253,0.246,0.376,0.283,0.269,0.251,0.202,0.151,0.283,0.0,0.006,0.052,0.231,0.0,4.267,4.494,5.428,7.281,4.267,22.05.24 - 14:47
587,0.16000000000000003,0.005,0.03,20,-1,0.361,0.375,0.397,0.461,0.333,0.22,0.227,0.231,0.184,0.217,0.143,0.151,0.174,0.286,0.117,6.891,7.224,7.665,8.722,6.8,22.05.24 - 14:48
588,0.14,0.003,0.024999999999999998,15,36,0.041,0.087,0.165,0.347,0.017,0.038,0.057,0.05,0.038,0.017,0.004,0.034,0.121,0.314,0.0,4.11,4.814,6.057,8.049,3.933,22.05.24 - 14:48
589,0.15000000000000002,0.005,0.015,17,30,0.08,0.088,0.169,0.33,0.107,0.067,0.054,0.039,0.029,0.083,0.024,0.047,0.14,0.308,0.033,4.697,5.354,6.557,8.238,4.583,22.05.24 - 14:49
590,0.15000000000000002,0.0045000000000000005,0.024999999999999998,18,30,0.021,0.056,0.111,0.264,0.017,0.021,0.048,0.064,0.049,0.017,0.0,0.007,0.051,0.219,0.0,3.863,4.103,5.054,6.91,3.783,22.05.24 - 14:50
591,0.17000000000000004,0.004,0.024999999999999998,17,32,0.041,0.067,0.113,0.263,0.017,0.041,0.06,0.071,0.056,0.017,0.0,0.007,0.047,0.212,0.0,3.761,3.978,4.89,6.773,3.75,22.05.24 - 14:50
592,0.14,0.0035,0.015,15,44,0.139,0.196,0.289,0.445,0.124,0.062,0.049,0.033,0.024,0.083,0.087,0.158,0.264,0.426,0.05,6.006,7.0,8.084,9.602,5.367,22.05.24 - 14:51
593,0.16000000000000003,0.005,0.024999999999999998,22,-1,0.214,0.215,0.228,0.311,0.471,0.104,0.102,0.107,0.091,0.233,0.12,0.123,0.131,0.23,0.267,6.474,6.659,6.886,7.899,8.6,22.05.24 - 14:51
594,0.16000000000000003,0.0045000000000000005,0.03,19,23,0.017,0.028,0.062,0.203,0.017,0.017,0.027,0.046,0.041,0.017,0.0,0.002,0.017,0.165,0.0,3.717,3.746,4.274,6.131,3.717,22.05.24 - 14:52
595,0.14,0.004,0.024999999999999998,16,34,0.028,0.067,0.151,0.332,0.017,0.024,0.044,0.038,0.029,0.017,0.003,0.027,0.12,0.308,0.0,4.124,4.824,6.144,8.061,3.983,22.05.24 - 14:52
